DIRECTORIO,HOGAR_NUMERO,PERSONA_NUMERO,edad,sexo
36228,1,2,53,2
36252,1,2,64,2
36281,1,2,88,2
36297,1,2,25,2
36313,1,1,66,2
36368,1,2,66,2
36383,1,6,27,2
36398,1,1,61,2
36422,1,2,44,2
36439,1,2,45,2
36454,1,1,64,1
36456,1,3,33,2
36477,1,2,46,2
36483,1,1,30,1
36541,1,1,19,1
36569,1,1,49,2
36588,1,1,34,1
36599,1,2,22,1
36620,1,1,51,2
36627,1,2,32,2
36639,1,2,24,1
36642,1,3,24,1
36657,1,2,54,2
36702,1,1,32,1
36769,1,1,41,2
36791,1,1,67,2
36872,1,1,66,1
36945,1,2,38,2
36984,1,2,51,2
36999,1,2,66,2
37009,1,2,47,2
37109,1,4,28,1
37118,1,1,62,1
37149,1,2,53,1
37221,1,6,25,2
37274,1,2,45,2
37281,1,1,61,1
37368,1,2,52,1
37386,1,2,36,1
37403,1,2,19,2
37407,1,1,38,1
37415,1,2,62,2
37450,1,1,68,1
37461,1,1,63,1
37480,1,1,36,2
37497,1,3,31,2
37539,1,2,64,2
37561,1,2,20,1
37575,1,1,84,1
37635,1,2,56,2
37645,1,1,54,2
37648,1,3,18,1
37659,1,5,34,2
37686,1,2,32,2
37688,1,2,31,2
37710,1,1,54,2
37734,1,3,26,2
37735,1,1,45,2
37736,1,2,70,2
37798,1,1,62,1
37802,1,5,19,1
37812,1,2,37,2
37824,1,4,37,1
37843,1,6,18,2
37872,1,1,63,1
37873,1,1,38,2
37910,1,2,21,2
37921,1,2,40,2
37944,1,1,68,1
37947,1,4,36,1
37965,1,3,30,2
38023,1,1,63,1
38039,1,1,44,2
38041,1,1,50,1
38046,1,2,41,2
38062,1,1,35,1
38097,1,2,32,2
38120,1,1,70,2
38210,1,1,32,2
38236,1,1,41,2
38267,1,1,53,1
38267,1,3,24,2
38322,1,2,33,2
38370,1,2,44,2
38400,1,1,30,1
38439,1,1,82,2
38474,1,1,46,2
38484,1,1,21,2
38522,1,2,36,2
38526,1,1,57,1
38544,1,2,48,2
38559,1,1,33,2
38561,1,3,29,1
38585,1,1,22,1
38626,1,2,42,2
38637,1,2,18,2
38649,1,1,45,2
38656,1,5,23,2
38665,1,4,66,1
38680,1,1,60,2
38682,1,1,95,1
38689,1,5,39,2
38734,1,2,38,1
38752,1,1,24,1
38794,1,2,54,1
38803,1,1,46,1
38878,1,2,66,2
38894,1,1,71,2
38930,1,3,31,2
38948,1,2,26,1
39221,1,2,58,2
39291,1,1,48,2
39326,1,1,60,1
39333,1,1,29,2
39357,1,1,75,2
39369,1,6,26,1
39371,1,2,71,2
39425,1,2,36,2
39427,1,1,90,1
39433,1,2,32,2
39458,1,1,72,1
39496,1,2,25,2
39497,1,4,18,1
39541,1,2,39,2
39545,1,1,47,1
39545,1,2,46,2
39564,1,3,20,1
39567,1,1,51,1
39570,1,3,25,2
39598,1,2,54,2
39599,1,1,46,1
39654,1,2,31,2
39672,1,4,34,2
39739,1,2,52,2
39743,1,1,71,1
39753,1,2,44,2
39757,1,1,49,1
39763,1,4,20,2
39787,1,3,51,2
39832,1,5,28,2
39856,1,1,40,1
39879,1,1,86,2
39889,1,1,68,1
39934,1,4,19,1
39949,1,2,43,2
39952,1,1,34,1
39965,1,2,47,1
40000,1,2,56,2
40023,1,2,58,1
40028,1,4,20,2
40045,1,3,26,1
40104,1,1,57,2
40105,1,2,23,2
40193,1,1,24,1
40230,1,1,37,1
40254,1,2,47,2
40315,1,1,49,1
40350,1,1,42,1
40357,1,1,28,1
40414,1,1,38,1
40560,1,5,24,2
40567,1,4,38,2
40579,1,4,50,1
40606,1,1,43,2
40612,1,2,52,2
40628,1,1,57,2
40632,1,1,96,2
40641,1,3,28,2
40646,1,1,72,2
40653,1,4,31,1
40711,1,2,51,1
40774,1,1,25,2
40786,1,2,85,2
40837,1,3,43,2
40847,1,1,37,2
40912,1,2,21,2
40963,1,1,51,2
41026,1,1,59,2
41029,1,1,37,2
41051,1,1,62,1
41060,1,3,24,1
41083,1,1,68,2
41097,1,1,75,1
41101,1,2,58,2
41111,1,3,27,1
41132,1,1,40,1
41184,1,1,56,1
41199,1,3,20,1
41237,1,1,28,1
41266,1,3,19,2
41288,1,1,31,2
41296,1,2,44,2
41336,1,1,35,2
41341,1,2,57,2
41379,1,3,21,2
41388,1,1,48,2
41457,1,3,25,1
41511,1,2,23,1
41534,1,3,18,1
41599,1,1,44,2
41613,1,1,60,1
41663,1,2,18,2
41709,1,2,19,2
41739,1,1,56,1
41804,1,3,27,2
41812,1,3,20,1
41855,1,2,22,1
41865,1,2,21,2
41923,1,1,43,1
41924,1,1,49,2
41957,1,1,68,1
42045,1,3,74,2
42068,1,2,36,2
42087,1,2,51,2
42096,1,1,70,1
42113,1,1,25,1
42115,1,1,74,2
42115,1,3,55,1
42117,1,3,20,1
42120,1,1,52,1
42121,1,5,22,2
42187,1,3,18,1
42240,1,1,64,2
42276,1,2,49,2
42293,1,2,45,2
42387,1,2,39,2
42422,2,2,29,1
42433,1,3,22,2
42461,2,1,36,1
42478,1,1,37,1
42479,1,1,63,2
42538,1,4,18,2
42541,1,1,32,1
42570,1,4,33,2
42600,1,4,22,1
42728,1,1,65,1
42754,1,3,24,2
43335,1,1,51,2
43347,1,1,42,1
43366,1,3,38,1
43396,1,1,61,2
43414,1,3,59,1
43527,1,2,56,1
43530,1,3,31,2
43547,1,2,34,2
43574,1,2,35,2
43580,1,4,21,2
43591,1,2,24,2
43626,1,3,22,2
43643,1,1,29,1
